a,b
Afghanistan,afghanistan
Puerto Rico,puerto rico
French Guiana,french guiana
Cambodia,cambodia
Denmark,denmark
Ukraine,ukraine
Belgium,belgium
Poland,poland
Haiti,haiti
Mongolia,mongolia
Malaysia,malaysia
Switzerland,switzerland
Paraguay,paraguay
China,china
Portugal,portugal
United Kingdom,united kingdom
Israel,israel
Lithuania,lithuania
Singapore,singapore
Netherlands,netherlands
Guatemala,guatemala
Sri Lanka,sri lanka
Togo,togo
Malawi,malawi
Belize,belize
Czech Republic,czech republic
Mozambique,mozambique
Nicaragua,nicaragua
Zimbabwe,zimbabwe
Vietnam,vietnam
Bulgaria,bulgaria
Belarus,belarus
Guyana,guyana
Nigeria,nigeria
Kenya,kenya
Nepal,nepal
Laos,laos
Latvia,latvia
East Timor,east timor
Swaziland,swaziland
Uruguay,uruguay
Kosovo,kosovo
Greece,greece
Argentina,argentina
Romania,romania
Germany,germany
Italy,italy
Madagascar,madagascar
Spain,spain
Morocco,morocco
Canada,canada
Mexico,mexico
Panama,panama
Taiwan,taiwan
Australia,australia
Russia,russia
Zambia,zambia
Yemen,yemen
Libya,libya
Venezuela,venezuela
Vanuatu,vanuatu
Uzbekistan,uzbekistan
Croatia,croatia
Costa Rica,costa rica
South Korea,south korea
Sweden,sweden
Austria,austria
Georgia,georgia
Namibia,namibia
India,india
El Salvador,el salvador
Tanzania,tanzania
Burma,burma
Japan,japan
Colombia,colombia
Indonesia,indonesia
Trinidad and Tobago,trinidad and tobago
South Africa,south africa
Ecuador,ecuador
Peru,peru
France,france
Thailand,thailand
Honduras,honduras
Finland,finland
Brazil,brazil
Seychelles,seychelles
Slovenia,slovenia
Angola,angola
Qatar,qatar
Kuwait,kuwait
New Caledonia,new caledonia
Bahrain,bahrain
Kyrgyzstan,kyrgyzstan
Estonia,estonia
Chad,chad
Malta,malta
Mauritius,mauritius
Sierra Leone,sierra leone
South Sudan,south sudan
Tunisia,tunisia
Burundi,burundi
Egypt,egypt
Oman,oman
Ghana,ghana
Dominica,dominica
Jamaica,jamaica
Turkmenistan,turkmenistan
Kazakhstan,kazakhstan
Guinea,guinea
Gambia,gambia
Guinea Bissau,guinea bissau
Sao Tome and Principe,sao tome and principe
Fiji,fiji
Ivory Coast,ivory coast
Moldova,moldova
Palau,palau
Comoros,comoros
Iraq,iraq
Mauritania,mauritania
Equatorial Guinea,equatorial guinea
Papua New Guinea,papua new guinea
Tonga,tonga
Central African Republic,central african republic
Burkina Faso,burkina faso
Niger,niger
Senegal,senegal
Azerbaijan,azerbaijan
Sudan,sudan
Bangladesh,bangladesh
Saudi Arabia,saudi arabia
Benin,benin
Suriname,suriname
Slovakia,slovakia
Cyprus,cyprus
Bhutan,bhutan
Botswana,botswana
Rwanda,rwanda
Philippines,philippines
Ethiopia,ethiopia
Cayman Islands,cayman islands
Lebanon,lebanon
Chile,chile
Bahamas,bahamas
Pakistan,pakistan
Armenia,armenia
Hong Kong,hong kong
Bolivia,bolivia
Montenegro,montenegro
Syria,syria
Algeria,algeria
Macedonia,macedonia
Luxembourg,luxembourg
Gabon,gabon
Turkey,turkey
Dominican Republic,dominican republic
North Korea,north korea
Brunei,brunei
Cameroon,cameroon
Aruba,aruba
Norway,norway
Bosnia and Herzegovina,bosnia and herzegovina
Democratic Republic of the Congo,democratic republic of the congo
Mali,mali
Uganda,uganda
Djibouti,djibouti
Albania,albania
Jordan,jordan
Hungary,hungary
Iran,iran
United Arab Emirates,united arab emirates
Cuba,cuba
Somalia,somalia
Saint Kitts and Nevis,st kitts and nevis
Republic of Congo,republic of the congo
Northern Cyprus,n cyprus
Hong Kong S.A.R.,hong kong
United States of America,usa
